Transporte	trip_duration	trip_duration_hrs	dist_meters	dist_km	wait_sec	wait_min	Vel_mts_seg	Vel_km_hr
Taxi Libre	572	0.158888889	2954	2.954	158	2.633333333	5.16	18.59
Taxi de Sitio	399	0.110833333	728	0.728	238	3.966666667	1.82	6.57
Taxi de Sitio	1201	0.333611111	4814	4.814	515	8.583333333	4.01	14.43
Taxi Libre	336	0.093333333	1763	1.763	58	0.966666667	5.25	18.89
Taxi de Sitio	596	0.165555556	3239	3.239	166	2.766666667	5.43	19.56
Taxi Libre	364	0.101111111	1223	1.223	164	2.733333333	3.36	12.1
Radio Taxi	1607	0.446388889	7685	7.685	488	8.133333333	4.78	17.22
Taxi Libre	407	0.113055556	2468	2.468	113	1.883333333	6.06	21.83
Taxi Libre	1266	0.351666667	7763	7.763	295	4.916666667	6.13	22.07
Taxi Libre	683	0.189722222	4846	4.846	78	1.3	7.1	25.54
Taxi Libre	865	0.240277778	3475	3.475	225	3.75	4.02	14.46
Taxi Libre	1457	0.404722222	6761	6.761	631	10.51666667	4.64	16.71
Radio Taxi	888	0.246666667	4570	4.57	250	4.166666667	5.15	18.53
Taxi Libre	1042	0.289444444	4548	4.548	182	3.033333333	4.36	15.71
Radio Taxi	1365	0.379166667	6765	6.765	407	6.783333333	4.96	17.84
Taxi Libre	799	0.221944444	2564	2.564	346	5.766666667	3.21	11.55
Taxi Libre	766	0.212777778	4697	4.697	273	4.55	6.13	22.07
Taxi Libre	592	0.164444444	1935	1.935	223	3.716666667	3.27	11.77
Taxi Libre	615	0.170833333	2984	2.984	223	3.716666667	4.85	17.47
Taxi Libre	946	0.262777778	4339	4.339	441	7.35	4.59	16.51
Taxi de Sitio	438	0.121666667	1188	1.188	244	4.066666667	2.71	9.76
Taxi de Sitio	476	0.132222222	1406	1.406	250	4.166666667	2.95	10.63
Taxi de Sitio	677	0.188055556	3406	3.406	280	4.666666667	5.03	18.11
Taxi Libre	499	0.138611111	3254	3.254	116	1.933333333	6.52	23.48
Taxi Libre	785	0.218055556	5463	5.463	220	3.666666667	6.96	25.05
Radio Taxi	1063	0.295277778	4526	4.526	1879	31.31666667	4.26	15.33
Radio Taxi	1065	0.295833333	2451	2.451	772	12.86666667	2.3	8.29
Taxi Libre	912	0.253333333	5247	5.247	255	4.25	5.75	20.71
Taxi Libre	426	0.118333333	2296	2.296	107	1.783333333	5.39	19.4
Radio Taxi	1249	0.346944444	2924	2.924	458	7.633333333	2.34	8.43
Taxi Libre	1486	0.412777778	4295	4.295	766	12.76666667	2.89	10.41
Taxi Libre	700	0.194444444	2077	2.077	245	4.083333333	2.97	10.68
Taxi Libre	544	0.151111111	2240	2.24	156	2.6	4.12	14.82
Taxi Libre	653	0.181388889	3703	3.703	67	1.116666667	5.67	20.41
