"","id","vendor_id","pickup_datetime","dropoff_datetime","pickup_longitude","pickup_latitude","dropoff_longitude","dropoff_latitude","store_and_fwd_flag","trip_duration","trip_duration_hrs","dist_meters","dist_km","wait_sec","wait_min"
"4815",8541,"México DF Taxi Libre","18/05/2017 07:41","18/05/2017 07:51",-99.19613607,19.46291666,-99.18014983,19.46368387,"N",609,0.17,3300,3.3,80,1.333333333
"4816",8543,"México DF Taxi Libre","18/05/2017 08:24","18/05/2017 08:33",-99.19553091,19.46350889,-99.17969638,19.45541356,"N",547,0.15,2842,2.842,191,3.183333333
"4817",8545,"México DF Taxi Libre","18/05/2017 08:47","18/05/2017 09:04",-99.09579808,19.47628808,-99.09414729,19.47464936,"N",1015,0.28,1965,1.965,31,0.516666667
"4818",8553,"México DF Taxi Libre","18/05/2017 09:57","18/05/2017 10:32",-99.09404331,19.47769355,-99.16351277,19.43412081,"N",2143,0.6,9885,9.885,256,4.266666667
"4819",8554,"México DF Taxi Libre","18/05/2017 10:34","18/05/2017 10:44",-99.19632678,19.46171376,-99.19634026,19.46160684,"N",585,0.16,3723,3.723,100,1.666666667
"4820",8556,"México DF Taxi Libre","18/05/2017 11:01","18/05/2017 11:01",-99.09106936,19.48549152,-99.08981481,19.48498678,"N",24,0.01,152,0.152,0,0
"4821",8558,"México DF Taxi Libre","18/05/2017 11:14","18/05/2017 11:44",-99.21821386,19.28799234,-99.22148951,19.28920757,"N",1804,0.5,2266,2.266,95,1.583333333
"4822",8559,"México DF Taxi Libre","18/05/2017 11:58","18/05/2017 12:04",-99.0940011,19.47773421,-99.10922567,19.48696677,"N",381,0.11,2089,2.089,6,0.1
"4823",8560,"México DF Taxi Libre","18/05/2017 12:02","18/05/2017 12:08",-99.21951512,19.28793247,-99.22753018,19.28313882,"N",365,0.1,1425,1.425,75,1.25
"4824",8561,"México DF Taxi Libre","18/05/2017 12:21","18/05/2017 12:30",-99.21818476,19.28795143,-99.2249253,19.27743468,"N",535,0.15,2347,2.347,106,1.766666667
"4825",8562,"México DF Taxi Libre","18/05/2017 12:29","18/05/2017 12:45",-99.09298241,19.48098904,-99.11132676,19.47512206,"N",940,0.26,4777,4.777,38,0.633333333
"4826",8563,"México DF Taxi Libre","18/05/2017 12:28","18/05/2017 12:50",-99.19712538,19.46324147,-99.19039248,19.4621552,"N",1347,0.37,7622,7.622,423,7.05
"4827",8564,"México DF Taxi Libre","18/05/2017 01:22","18/05/2017 01:50",-99.21768318,19.28904364,-99.17414582,19.34956756,"N",1670,0.46,10121,10.121,505,8.416666667
